cap-color,odor,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,ring-type,population,habitat,label
other,foul,silky,silky,pink,pink,other,several,other,poisonous
gray,none,silky,silky,white,white,pendant,other,grass,edible
other,none,smooth,other,white,white,other,other,wood,edible
other,none,smooth,other,white,other,evanescent,several,other,edible
other,none,smooth,smooth,pink,other,pendant,several,wood,edible
other,none,smooth,smooth,white,white,evanescent,other,grass,edible
gray,none,silky,smooth,white,white,pendant,other,grass,edible
other,foul,other,other,white,white,pendant,several,grass,poisonous
other,none,smooth,smooth,other,other,pendant,other,wood,edible
other,none,smooth,smooth,white,white,pendant,several,grass,poisonous
brown,foul,smooth,smooth,pink,pink,evanescent,several,other,poisonous
brown,other,silky,smooth,pink,white,evanescent,several,other,poisonous
gray,none,smooth,other,white,white,evanescent,other,grass,edible
other,foul,smooth,smooth,white,white,pendant,several,other,poisonous
other,foul,silky,silky,pink,other,other,other,other,poisonous
other,none,smooth,smooth,other,other,pendant,other,wood,edible
other,other,smooth,smooth,white,white,pendant,other,grass,edible
gray,none,silky,silky,white,white,pendant,other,grass,edible
other,foul,silky,silky,pink,other,other,other,wood,poisonous
brown,none,smooth,smooth,other,other,pendant,other,other,edible
other,none,smooth,smooth,other,white,pendant,other,wood,edible
